Nº de Accidente,Fecha,Hora,Lugar de Accidente,Distrito,Perito,En Donde Se Toma,Tipo Colision,Lesiones,Latitud,Longitud,
2000691,13-Jun-20,11:48:00,PRESBITERO MASI F. Y BOLOUGNE SUR MER (Bº ALTO MAIPU),Cdad de Maipu,FARIAS DIEGO,EN LUGAR DEL HECHO,Perpendicular Central,Con Lesiones,-32.980949,-68.799511,
2000690,13-Jun-20,11:30:00,ALTA ITALIA E IRIGOYEN,Luzuriaga,SUAREZ PAOLA,EN LUGAR DEL HECHO,Perpendicular Posterior,Sin Lesiones,-32.955241,-68.795019,
2000689,13-Jun-20,10:35:00,EULOGIO SAEZ Y PESCARA,Cdad de Maipu,FARIAS DIEGO,EN LUGAR DEL HECHO,Perpendicular Central,Con Lesiones,-32.976159,-68.784993,
2000686,12-Jun-20,12:40:00,GOMEZ Y BOULET,Coquimbito,FARIAS DIEGO,EN LUGAR DEL HECHO,ALCANCE,Con Lesiones,-32.960542,-68.767480,
2000684,11-Jun-20,13:55:00,OZAMIS SUR 120,Cdad de Maipu,FARIAS DIEGO,EN LUGAR DEL HECHO,Oblicua Central,Sin Lesiones,-32.987096,-68.791235,
2000683,11-Jun-20,13:20:00,RUTA 60 Y MAZA,Lunlunta,SUAREZ PAOLA,EN LUGAR DEL HECHO,Oblicua Anterior,Sin Lesiones,-33.012450,-68.813332,
2000682,11-Jun-20,10:05:00,EMILIO CIVIT (LATERAL NORTE DE CALLE JUAN J. PASO) Bº VIEJO TONEL I MNA A CASA 24,Cdad de Maipu,FARIAS DIEGO,EN LUGAR DEL HECHO,ALCANCE,Con Lesiones,-32.971976,-68.817310,
2000679,10-Jun-20,17:30:00,PABLO PESCARA Nº 1241,Cdad de Maipu,SUAREZ PAOLA,EN LUGAR DEL HECHO,Perpendicular Anterior,Con Lesiones,-32.970202,-68.783521,
2000678,10-Jun-20,12:05:00,MENDOZA Y SANTA FE,Coquimbito,SUAREZ PAOLA,EN LUGAR DEL HECHO,ALCANCE,Sin Lesiones,-32.993311,-68.765575,
2000677,09-Jun-20,09:40:00,PADRE VAZQUEZ Y CORREA,Cdad de Maipu,FARIAS DIEGO,EN LUGAR DEL HECHO,Oblicua Anterior,Con Lesiones,-32.967145,-68.784152,
2000676,09-Jun-20,09:40:00,PADRE VAZQUEZ Y CORREA,Cdad de Maipu,FARIAS DIEGO,EN LUGAR DEL HECHO,Oblicua Anterior,Con Lesiones,-32.967145,-68.784152,
2000675,08-Jun-20,12:05:00,TROPERO SOSA 1399 (A 20 MTS AL OESTE DE JERONIMO RUIZ),Cdad de Maipu,FARIAS DIEGO,EN LUGAR DEL HECHO,Oblicua Anterior,Con Lesiones,-32.989220,-68.771021,
2000670,06-Jun-20,21:37:00,5 DE ABRIL Y SAN MARTIN,Cdad de Maipu,GARRO MAURICIO,EN LUGAR DEL HECHO,Perpendicular Anterior,Sin Lesiones,-32.985309,-68.781340,
